        Zone      Season        Index    Path      Row       Acquisition     Scene_id                Julian Date      
        1         spring        1        45        26        03/21/01        5045026000108010        01080      
        1         spring        2        45        27        03/26/00        7045027000008650        00086      
        1         spring        1        45        28        03/21/01        5045028000108010        01080      
        1         spring        3        46        26        05/07/01        7046026000112750        01127      
        1         spring        4        46        27        05/31/01        5046027000115110        01151      
        1         spring        5        46        28        04/10/00        5046028000010110        00101      
        1         spring        6        47        26        02/13/00        5047026000004410        00044      
        1         spring        7        47        27        02/26/02        7047027000205750        02057      
        1         spring        7        47        28        02/26/02        7047028000205750        02057      
        1         spring        8        48        26        04/03/01        7048026000109350        01093      
        1         spring        8        48        27        04/03/01        7048027000109350        01093
        1         leafon        1        45        26        07/16/00        7045026000019850        00198      
        1         leafon        2        45        27        07/22/02        7045027000220350        02203      
        1         leafon        1        45        28        07/16/00        7045028000019850        00198      
        1         leafon        3        46        26        08/11/01        7046026000122350        01223        
        1         leafon        4        46        27        07/07/00        7046027000018950        00189        
        1         leafon        4        46        28        07/07/00        7046028000018950        00189        
        1         leafon        5        47        26        07/30/00        7047026000021250        00212        
        1         leafon        5        47        27        07/30/00        7047027000021250        00212        
        1         leafon        6        47        28        07/01/01        7047028000118250        01182        
        1         leafon        7        48        26        07/21/00        7048026000020350        00203        
        1         leafon        8        48        27        06/03/00        7048027000015550        00155
        1         leafoff       1        45        26        10/18/99        7045026009929150        99291        
        1         leafoff       2        45        27        10/04/00        7045027000027850        00278        
        1         leafoff       3        45        28        08/17/00        7045028000023050        00230        
        1         leafoff       4        46        26        09/12/01        7046026000125550        01255        
        1         leafoff       5        46        27        09/25/00        7046027000026950        00269        
        1         leafoff       5        46        28        09/25/00        7046028000026950        00269        
        1         leafoff       6        47        26        10/05/01        7047026000127850        01278        
        1         leafoff       7        47        27        11/01/99        7047027009930550        99305        
        1         leafoff       8        47        28        10/16/99        7047028009928950        99289        
        1         leafoff       9        48        26        09/23/00        7048026000026750        00267        
        1         leafoff       9        48        27        09/23/00        7048027000026750        00267
        2         spring        5        46        28        04/10/00        5046028000010110        00101      
        2         spring        6        46        29        03/20/01        7046029000107950        01079      
        2         spring        2        46        30        05/07/01        7046030000112750        01127      
        2         spring        3        47        28        02/26/02        7047028000205750        02057      
        2         spring        3        47        29        02/26/02        7047029000205750        02057
        2         leafon        3        46        28        08/27/01        7046028000123950        01239      
        2         leafon        4        46        29        08/08/00        7046029000022150        00221      
        2         leafon        1        46        30        07/26/01        7046030000120750        01207      
        2         leafon        2        47        28        07/01/01        7047028000118250        01182      
        2         leafon        2        47        29        07/01/01        7047029000118250        01182
        2         leafoff       3        46        28        09/25/00        7046028000026950        00269      
        2         leafoff       2        46        29        09/28/01        7046029000127150        01271      
        2         leafoff       5        46        30        08/27/01        7046030000123950        01239      
        2         leafoff       1        47        28        10/16/99        7047028009928950        99289
        2         leafoff       1        47        29        10/16/99        7047029009928950        99289
        3         spring        1        44        33        04/23/01        7044033000111350        01113      
        3         spring        2        44        34        04/20/00        7044034000011150        00111      
        3         spring        3        45        31        04/14/01        7045031000110450        01104      
        3         spring        4        45        32        03/26/00        7045032000008650        00086      
        3         spring        4        45        33        03/26/00        7045033000008650        00086      
        3         spring        5        46        30        05/07/01        7046030000112750        01127      
        3         spring        5        46        31        05/07/01        7046031000112750        01127      
        3         spring        6        46        32        04/02/00        7046032000009350        00093
        3         leafon        1        44        33        07/28/01        7044033000120950        01209      
