"id","x","y","eame","heth"
1,494347.6418,498005.1517,0,1
2,491835.9061,495080.7641,0,0
3,493616.9596,497366.0335,0,0
4,493668.5292,494368.668,0,1
5,491156.8961,495354.8425,0,0
6,496204.3754,447138.3919,0,0
7,498551.3538,498567.3302,1,0
8,496375.1889,499602.5646,0,0
9,499577.7668,500637.9805,1,0
10,496156.2507,501792.9312,1,0
11,498008.38,491115.2227,0,0
12,495975.8225,492153.4046,0,0
13,497918.696,492128.6412,1,0
14,498269.308,490520.0202,0,0
15,497818.4318,493725.3062,1,0
16,533298.7241,383376.2199,0,1
17,532223.2247,386738.3691,0,0
18,531282.8187,383928.9272,0,1
19,534718.1324,386583.5061,0,0
20,532224.8551,386289.6605,0,0
21,535719.4624,389983.3712,0,1
22,537569.6425,390279.0243,0,1
23,537846.2911,387312.0254,0,0
24,535405.6844,391448.7336,0,0
25,535963.5234,390540.4071,0,1
26,537902.498,381648.8536,0,1
27,535104.0849,380944.3942,0,1
28,538806.1338,378150.5338,0,1
29,538981.4497,380618.9312,0,1
30,538697.9888,378894.3731,0,0
31,395832.633,499116.8269,0,0
32,395097.4631,498725.5235,0,0
33,393761.3604,498000.5197,0,0
34,394334.0814,497867.0012,0,0
35,392175.5553,499488.9364,0,1
36,400947.3324,499500.7328,0,0
37,400995.2425,501353.4108,1,0
38,399795.2048,502719.3897,0,0
39,397281.6928,502708.2877,0,0
40,397873.9963,504030.4704,0,0
41,400871.3309,494653.7758,0,0
42,399261.0156,490360.0643,0,0
43,399993.5817,490957.4951,0,0
44,400800.9183,490740.1888,0,0
45,400019.0382,494678.5779,0,1
46,532964.1591,522755.2685,1,0
47,529866.1387,522736.3655,1,1
48,532721.9191,525617.6063,0,1
49,529914.9969,524654.9874,0,0
50,531129.6676,523571.6396,0,1
51,535559.6006,528738.9611,0,1
52,535100.4709,528376.7995,0,1
53,537276.9499,526497.1221,0,1
54,535145.05,527132.672,0,1
55,535208.2517,526316.2961,0,1
56,536125.7799,520311.8399,0,0
57,538459.3811,518716.2586,0,0
58,535892.669,521119.9958,0,0
59,539238.4265,519526.2022,0,0
60,536875.3161,519249.5347,0,1
61,651494.4007,332274.5155,0,0
62,653761.8861,328790.5088,0,0
63,654399.5844,329057.6096,0,0
64,654432.0706,328687.1721,0,0
65,653538.9497,332072.5166,0,0
66,658052.3806,336935.5042,1,0
67,660565.862,335764.2307,1,0
68,658958.2627,336156.3958,0,0
69,660078.2507,337772.9119,1,0
70,660614.9893,334535.2821,0,0
71,659903.692,324110.8337,0,0
72,658808.5143,328261.3783,0,0
73,659976.8441,328282.1817,1,0
74,659939.015,326512.5759,0,0
75,660645.1994,326876.1277,0,0
76,356085.4712,553789.3966,0,0
77,355759.2806,551757.9319,0,0
78,358328.4122,551350.0946,0,0
79,356828.3045,551379.9288,0,1
80,357747.0441,552820.2573,0,1
81,362767.0599,558401.0512,0,1
82,362020.4536,560366.3166,0,0
83,363273.1935,559973.6084,0,0
84,360021.1971,559528.7473,1,0
85,361148.4893,557698.0957,1,0
86,358769.562,551303.2002,0,0
87,358562.0974,548128.0226,0,0
88,359197.7957,546794.4381,0,0
89,362444.2017,546845.8144,1,0
90,362463.0557,547317.7873,0,0
91,608256.9404,606181.0446,0,1
92,608311.0455,607550.9076,0,0
93,607977.7812,607213.8838,0,1
94,611553.5145,606305.6571,0,1
95,607831.4669,605941.6192,0,1
96,611356.4638,609718.8548,0,1
97,614275.8315,611377.463,0,1
98,613697.5556,614552.5719,0,1
99,614826.5306,611092.5103,0,1
100,614742.0701,610687.8062,0,1
101,615904.5875,611685.9395,0,1
102,612040.1521,614652.0795,0,0
103,613056.8706,602259.6527,0,1
104,614559.2029,604603.9241,0,1
105,612973.5746,604497.6547,0,1
106,615110.5128,605125.799,0,1
107,616566.6038,602585.675,0,1
108,615737.1089,605237.7064,0,1
109,570211.0517,438393.2285,1,0
110,570488.9199,440651.4701,1,1
111,572088.0423,440128.6412,0,0
112,573791.2919,438788.3723,0,0
113,570491.9878,441076.9425,0,0
114,576904.8588,446892.9476,0,0
115,579479.4054,443774.4676,0,1
116,577582.5608,444979.3476,0,0
117,577175.0261,443203.9354,0,1
118,578540.3237,446024.3338,0,0
119,579366.2565,438120.2774,0,1
120,577723.191,436915.8018,0,0
121,578541.8468,438068.3864,0,1
122,575261.8658,436516.7913,0,0
123,576560.87,438159.7574,0,1
124,357226.0235,662857.5852,0,1
125,358608.0092,662631.6911,0,1
126,360874.3487,663723.816,0,1
127,356826.6077,662702.6249,0,1
128,360920.6139,665723.9901,0,1
129,360908.0596,665098.3292,0,1
130,360895.9176,664634.9928,0,1
131,362679.8172,669277.2632,0,1
132,363809.0152,668982.3317,0,1
133,362609.207,668687.5786,0,1
134,362985.1532,668165.2604,0,1
135,362422.8858,669735.3578,0,1
136,364256.6055,661933.9029,0,1
137,362552.6352,660902.6455,0,1
138,364566.6498,660886.3924,0,1
139,364294.2389,660430.8375,0,1
140,365303.3768,660760.8628,0,1
141,363423.5513,660254.1782,0,1
142,365654.2128,660946.5153,0,1
143,590912.1585,606312.2735,0,1
144,589085.9972,606520.5034,0,1
145,590281.49,605650.5797,0,1
146,543952.7139,605353.1611,0,0
147,588289.6401,606521.6563,0,1
148,596822.6056,610932.2423,0,1
149,597320.612,613919.8995,0,1
150,596596.7753,611271.6947,0,1
151,594211.6292,611738.1644,0,0
152,595858.931,610845.8743,0,0
153,595138.5207,601892.9075,0,1
